ID;TIPOID;NOMBRE;TIPOMIEMBRO
97926;CE;Conrad;PadreInvitado
98381;CE;gabriel;ProfesorInvitado
95408;CC;juan;Empleado
96448;CE;violeta;Profesor
98999;CE;jorge;Egresado
100065;CE;Silvana;Empleado
102077;CE;Cristina;Empleado
98267;CC;Hannah;Empleado
97088;CC;Valentina;Egresado
96173;CC;Maicol;Empleado
95994;CC;jaime;Empleado
100319;CC;Valentina;ProfesorInvitado
94849;CE;jaime;Profesor
94846;CE;Valentina;ProfesorInvitado
96887;CC;camila ;Egresado
96844;CE;sabastian;ProfesorInvitado
93737;CE;violeta;PadreInvitado
93940;CC;lucho;Estudiante
99942;CC;andrea ;PadreInvitado
101365;CC;mathias;PersonaEvento
95632;CC;mariana;PadreInvitado
98746;CE;juan;ProfesorInvitado
96515;CE;angelica;Estudiante
99444;CE;mariana;Empleado
103369;CE;Juliana;ProfesorInvitado
93496;CE;Claudia;Empleado
97385;CE;sabastian;Egresado
95883;CE;juan;Egresado
93536;CC;Catherine;Empleado
95661;CE;Julian;Profesor
101515;CE;andrea ;Empleado
93589;CE;Silvana;Egresado
95402;CC;Maria;PadreInvitado
98118;CE;Catherine;Estudiante
94124;CE;pedro;Profesor
95687;CE;vittorio;Egresado
100264;CC;Juliana;Estudiante
94484;CC;mathias;Estudiante
101953;CE;mathias;Empleado
93916;CE;Maria;Estudiante
97232;CE;daniel;Empleado
100972;CE;victoria;Profesor
95934;CE;maurizio;PadreInvitado
94889;CC;santiago;Empleado
95924;CC;Catherine;Egresado
100528;CE;andrea ;Estudiante
96245;CE;santiago;Egresado
97930;CE;andres;Estudiante
95065;CC;Silvana;Egresado
98793;CE;Maria;Estudiante
95582;CE;andrei;Empleado
101484;CC;daniel;ProfesorInvitado
103133;CE;Silvana;Estudiante
103093;CC;andrei;Empleado
100467;CE;Maria;Estudiante
102877;CC;jose;Estudiante
99231;CE;angelica;Profesor
100566;CE;juan;PadreInvitado
100723;CE;Maria;Empleado
94478;CC;mariana;Estudiante
101041;CE;santiago;Estudiante
99787;CE;Maria;Profesor
102425;CE;violeta;Estudiante
98012;CC;andres;Empleado
96588;CC;daniel;PadreInvitado
97803;CE;gabriel;PadreInvitado
100561;CE;maurizio;Empleado
99905;CC;daniel;Egresado
94034;CE;violeta;ProfesorInvitado
93751;CE;jorge;Estudiante
101175;CE;Maria;Egresado
101506;CC;jose;PadreInvitado
96071;CC;Claudia;Egresado
93757;CC;andrei;Egresado
97746;CC;andrea ;PadreInvitado
93600;CC;andrea ;Empleado
95121;CC;daniel;ProfesorInvitado
94305;TI;jose;PadreInvitado
93936;CE;Julian;Profesor
102320;CE;valeria;Estudiante
93946;CC;angelica;ProfesorInvitado
103408;CC;Maria;Egresado
100368;CC;Catherine;ProfesorInvitado
102640;CC;victoria;Profesor
97915;CC;jaime;Profesor
96078;CC;Aura;Profesor
101054;CE;vittorio;PadreInvitado
96626;CC;Silvana;PadreInvitado
99846;CE;Sofia ;PadreInvitado
96275;TI;vittorio;Empleado
96585;CC;Maicol;ProfesorInvitado
94031;CE;jorge;Estudiante
98377;CC;vittorio;ProfesorInvitado
102051;CE;jose;Egresado
93969;CE;vittorio;ProfesorInvitado
102942;CC;santiago;ProfesorInvitado
99439;CE;Cristina;PadreInvitado
102369;CC;angelica;PadreInvitado
98820;CE;sabastian;Egresado
98402;CC;valeria;ProfesorInvitado
96350;CE;camila ;PadreInvitado
99637;CC;juan;Profesor
100317;CE;Silvana;Empleado
103206;CE;jaime;ProfesorInvitado
96852;CE;victoria;PadreInvitado
95407;CE;Maicol;ProfesorInvitado
99809;CE;jose;Egresado
99911;CE;mariana;Egresado
93471;CC;victoria;Egresado
100739;CE;jose;Estudiante
99910;CC;Julian;ProfesorInvitado
95240;CE;daniel;Estudiante
99255;CC;Aura;Profesor
97077;CC;violeta;Empleado
101047;CE;Sofia ;Egresado
96251;CE;Julian;Profesor
99945;CE;Julian;Egresado
94942;CE;vicky;PadreInvitado
96559;TI;Valentina;Empleado
95546;CC;Claudia;Empleado
101238;CC;vicky;Empleado
101875;CE;juan;Empleado
98422;CC;Maicol;Profesor
97441;CC;mariana;Estudiante
94296;TI;pablo;Estudiante
97535;CC;Sofia ;Empleado
97593;CE;andrei;Egresado
98882;CC;andrea ;ProfesorInvitado
101732;CC;Julian;Egresado
100714;CC;Maria;Egresado
96428;CC;Aura;Egresado
95690;CE;jaime;Egresado
103051;CE;juan;PadreInvitado
97217;CE;Catherine;ProfesorInvitado
100615;CE;nicolas;Empleado
101805;CC;andrea ;Profesor
103170;CE;victoria;ProfesorInvitado
99057;CC;daniel;Profesor
96969;CC;mathias;Profesor
98122;CE;Valentina;ProfesorInvitado
94828;CC;pablo;Egresado
97569;CC;santiago;Estudiante
101653;CC;pedro;ProfesorInvitado
95782;CE;sabastian;Egresado
100683;CE;mariana;Egresado
98644;CE;juan;Egresado
95451;CC;Nelly ;Egresado
95665;CC;Nelly ;PadreInvitado
96255;CC;andres;Profesor
96209;CC;juan;ProfesorInvitado
94074;CC;santiago;Profesor
96952;TI;Maria;PadreInvitado
94082;CE;Julian;Estudiante
101744;CC;daniel;ProfesorInvitado
97414;CE;andrea ;PadreInvitado
98029;CE;Maria;ProfesorInvitado
99178;CE;santiago;Egresado
95525;CC;vicky;Profesor
95471;CC;Maicol;PadreInvitado
102611;CC;gabriel;PadreInvitado
96247;CE;Sofia ;Empleado
93554;CC;Maicol;Egresado
98259;CE;pedro;Egresado
95158;CE;Maria;Estudiante
97276;CC;Cristina;ProfesorInvitado
95088;CC;juan;Empleado
100292;CE;Silvana;PadreInvitado
103130;CE;Hannah;ProfesorInvitado
100536;CC;Maicol;Empleado
98004;CE;pablo;Egresado
98734;CC;jaime;Empleado
101266;CC;Catherine;Profesor
97801;CC;Valentina;Egresado
100758;CC;valeria;Egresado
94349;CE;victoria;Estudiante
101199;CC;Aura;PadreInvitado
100131;CE;andres;Estudiante
100902;CC;valeria;Estudiante
100161;CC;valeria;Egresado
102932;CE;Maria;PersonaEvento
99915;CE;mariana;Profesor
100744;CC;nicolas;ProfesorInvitado
101154;CC;mariana;ProfesorInvitado
97601;CC;camila ;PadreInvitado
95220;CE;violeta;Profesor
94467;CE;andrei;Profesor
101151;CE;pedro;ProfesorInvitado
93645;CC;Nelly ;Profesor
99590;CE;andrea ;Egresado
101221;CC;valeria;ProfesorInvitado
100198;CC;gabriel;Egresado
99068;CE;andrea ;Profesor
98841;CE;mariana;Profesor
96141;CE;Sofia ;PadreInvitado
102702;CC;mathias;Egresado
100042;CC;Julian;Empleado
97507;CC;pedro;Egresado
101176;CE;Hannah;Profesor
103174;CC;andrei;Estudiante
101541;CC;pablo;PadreInvitado
102464;CC;pedro;PadreInvitado
102649;CC;andres;PadreInvitado
95596;CE;nicolas;Estudiante
95646;CE;gabriel;PadreInvitado
102645;CE;Valentina;Estudiante
100880;CC;Sofia ;PadreInvitado
102248;CE;victoria;Estudiante
99500;CE;nicolas;Empleado
102290;CC;andrei;PadreInvitado
94649;CC;andrea ;Profesor
101430;CC;Catherine;ProfesorInvitado
99833;CC;gabriel;PadreInvitado
94473;CE;Aura;Estudiante
99904;CE;mariana;PadreInvitado
101687;CC;jaime;PadreInvitado
96356;CC;pablo;Empleado
101301;CC;sabastian;Estudiante
96583;CC;Maicol;PadreInvitado
97853;CE;Maria;PadreInvitado
103166;CC;Sofia ;Profesor
103022;CC;maurizio;PersonaEvento
97361;CC;Claudia;Egresado
102622;CC;Aura;Empleado
101689;CE;valeria;PadreInvitado
99622;CE;nicolas;PadreInvitado
102238;CC;andrei;Profesor
100248;CC;Claudia;Estudiante
96144;CE;mariana;Empleado
99303;CE;jose;Estudiante
94167;CC;nicolas;Estudiante
93509;CC;vittorio;ProfesorInvitado
100671;CC;pablo;ProfesorInvitado
93688;CE;camila ;PadreInvitado
94430;CE;Silvana;Profesor
95290;CE;daniel;PadreInvitado
102835;CE;Juliana;Egresado
99575;CE;Catherine;Empleado
101085;CC;Julian;Empleado
100247;CC;Sofia ;PadreInvitado
97775;CC;Claudia;Empleado
103282;CE;Maria;Empleado
93923;CE;jaime;PadreInvitado
94123;CE;vicky;ProfesorInvitado
101150;CC;mariana;Profesor
101002;CC;jaime;PadreInvitado
102054;CC;Sofia ;Egresado
97162;CE;Maria;PadreInvitado
97793;CC;andres;Egresado
94251;CC;vicky;Estudiante
101443;CE;pedro;Estudiante
102489;CE;Maicol;Profesor
102908;CC;santiago;ProfesorInvitado
101254;CC;Maria;Profesor
93488;CE;Nelly ;Empleado
97832;CC;lucho;ProfesorInvitado
100731;CE;vittorio;Empleado
94880;CE;Valentina;ProfesorInvitado
95189;CE;Juliana;Egresado
98494;CC;andrei;ProfesorInvitado
94230;CE;sabastian;ProfesorInvitado
96038;CE;camila ;PadreInvitado
102243;CE;mathias;Empleado
102884;CC;daniel;Estudiante
95968;CE;Claudia;Empleado
99208;CE;mariana;ProfesorInvitado
99006;CE;Valentina;ProfesorInvitado
96820;CE;violeta;Profesor
100442;CE;pedro;Estudiante
96674;CE;vicky;Profesor
102888;CE;gabriel;Egresado
96764;CC;Cristina;ProfesorInvitado
97071;CE;pablo;Estudiante
102864;CC;andres;Estudiante
95679;CE;jaime;PadreInvitado
94607;CE;Julian;Estudiante
95502;CE;Aura;Empleado
103258;CE;Maria;PadreInvitado
95179;CE;jorge;Estudiante
101495;CC;andrea ;Empleado
100454;CE;pedro;Egresado
97716;CC;Julian;PadreInvitado
95783;CC;juan;PadreInvitado
95261;CC;Maicol;ProfesorInvitado
96371;CE;Claudia;Empleado
99265;CE;vicky;Profesor
98074;CC;Maria;Profesor
98166;CC;pablo;PadreInvitado
97448;CC;angelica;ProfesorInvitado
99539;CC;santiago;Profesor
94345;CC;jaime;PadreInvitado
99440;CC;Maria;Estudiante
102842;CC;jorge;Profesor
94371;CC;Julian;Profesor
102680;CE;mathias;Empleado
100115;CC;pablo;PadreInvitado
100143;CE;jose;Egresado
94548;CC;valeria;PadreInvitado
95399;CC;Silvana;PadreInvitado
100616;CC;Maicol;Profesor
101631;CC;Cristina;PadreInvitado
94704;CE;mariana;Profesor
101829;CE;angelica;Egresado
99840;CC;lucho;ProfesorInvitado
102576;CE;santiago;Empleado
94870;CC;Nelly ;Empleado
98570;CE;Maria;Profesor
99927;TI;jorge;Estudiante
99396;CC;vicky;Estudiante
98881;CC;pedro;Empleado
98805;CE;Valentina;Empleado
99791;CE;vicky;ProfesorInvitado
93895;CC;camila ;Egresado
94756;CE;Catherine;Egresado
101003;CE;jorge;Egresado
98111;CE;sabastian;PadreInvitado
96686;CE;Catherine;PadreInvitado
102197;CC;Nelly ;Profesor
102121;CE;jorge;Egresado
102344;CC;andrea ;ProfesorInvitado
99003;CE;maurizio;Estudiante
93500;CE;valeria;ProfesorInvitado
100304;CE;valeria;ProfesorInvitado
94433;CC;mariana;PadreInvitado
93505;CE;Maria;Empleado
93666;CE;daniel;PadreInvitado
97677;CE;pedro;Egresado
100523;CC;juan;Profesor
94847;CC;pablo;Empleado
102827;CE;santiago;ProfesorInvitado
95965;CC;Maria;Profesor
94982;CE;mathias;PadreInvitado
100139;CC;pablo;Empleado
