ID;TIPOID;NOMBRE;TIPOMIEMBRO
103436;CC;Conrad;PadreInvitado
103437;CC;gabriel;ProfesorInvitado
103438;CC;juan;Empleado
103439;CC;violeta;Profesor
103440;CC;jorge;Egresado
103441;CC;Silvana;Empleado
103442;CC;Cristina;Empleado
103443;CC;Hannah;Empleado
103444;CC;Valentina;Egresado
103445;CC;Maicol;Empleado
103446;CC;jaime;Empleado
103447;CC;Valentina;ProfesorInvitado
103448;CC;jaime;Profesor
103449;CC;Valentina;ProfesorInvitado
103450;CC;camila ;Egresado
103451;CC;sabastian;ProfesorInvitado
103452;CC;violeta;PadreInvitado
103453;CC;lucho;Estudiante
103454;CC;andrea ;PadreInvitado
103455;CC;mathias;PersonaEvento
103456;CC;mariana;PadreInvitado
103457;CC;juan;ProfesorInvitado
103458;CC;angelica;Estudiante
103459;CC;mariana;Empleado
103460;CC;Juliana;ProfesorInvitado
103461;CC;Claudia;Empleado
103462;CC;sabastian;Egresado
103463;CC;juan;Egresado
103464;CC;Catherine;Empleado
103465;CC;Julian;Profesor
103466;CC;andrea ;Empleado
103467;CC;Silvana;Egresado
103468;CC;Maria;PadreInvitado
103469;CC;Catherine;Estudiante
103470;CC;pedro;Profesor
103471;CC;vittorio;Egresado
103472;CC;Juliana;Estudiante
103473;CC;mathias;Estudiante
103474;CC;mathias;Empleado
103475;CC;Maria;Estudiante
103476;CC;daniel;Empleado
103477;CC;victoria;Profesor
103478;CC;maurizio;PadreInvitado
103479;CC;santiago;Empleado
103480;CC;Catherine;Egresado
103481;CC;andrea ;Estudiante
103482;CC;santiago;Egresado
103483;CC;andres;Estudiante
103484;CC;Silvana;Egresado
103485;CC;Maria;Estudiante
103486;CC;andrei;Empleado
103487;CC;daniel;ProfesorInvitado
103488;CC;Silvana;Estudiante
103489;CC;andrei;Empleado
103490;CC;Maria;Estudiante
103491;CC;jose;Estudiante
103492;CC;angelica;Profesor
103493;CC;juan;PadreInvitado
103494;CC;Maria;Empleado
103495;CC;mariana;Estudiante
103496;CC;santiago;Estudiante
103497;CC;Maria;Profesor
103498;CC;violeta;Estudiante
103499;CC;andres;Empleado
103500;CC;daniel;PadreInvitado
103501;CC;gabriel;PadreInvitado
103502;CC;maurizio;Empleado
103503;CC;daniel;Egresado
103504;CC;violeta;ProfesorInvitado
103505;CC;jorge;Estudiante
103506;CC;Maria;Egresado
103507;CC;jose;PadreInvitado
103508;CC;Claudia;Egresado
103509;CC;andrei;Egresado
103510;CC;andrea ;PadreInvitado
103511;CC;andrea ;Empleado
103512;CC;daniel;ProfesorInvitado
103513;CC;jose;PadreInvitado
103514;CC;Julian;Profesor
103515;CC;valeria;Estudiante
103516;CC;angelica;ProfesorInvitado
103517;CC;Maria;Egresado
103518;CC;Catherine;ProfesorInvitado
103519;CC;victoria;Profesor
103520;CC;jaime;Profesor
103521;CC;Aura;Profesor
103522;CC;vittorio;PadreInvitado
103523;CC;Silvana;PadreInvitado
103524;CC;Sofia ;PadreInvitado
103525;CC;vittorio;Empleado
103526;CC;Maicol;ProfesorInvitado
103527;CC;jorge;Estudiante
103528;CC;vittorio;ProfesorInvitado
103529;CC;jose;Egresado
103530;CC;vittorio;ProfesorInvitado
103531;CC;santiago;ProfesorInvitado
103532;CC;Cristina;PadreInvitado
103533;CC;angelica;PadreInvitado
103534;CC;sabastian;Egresado
103535;CC;valeria;ProfesorInvitado
103536;CC;camila ;PadreInvitado
103537;CC;juan;Profesor
103538;CC;Silvana;Empleado
103539;CC;jaime;ProfesorInvitado
103540;CC;victoria;PadreInvitado
103541;CC;Maicol;ProfesorInvitado
