ID;TIPOID;NOMBRE;TIPOMIEMBRO;;
133436;CC;Conrad;PadreInvitado;;
133437;CC;gabriel;ProfesorInvitado;;
133438;CC;juan;Empleado;;183435
133439;CC;violeta;Profesor;;
133440;CC;jorge;Egresado;;
133441;CC;Silvana;Empleado;;
133442;CC;Cristina;Empleado;;
133443;CC;Hannah;Empleado;;
133444;CC;Valentina;Egresado;;
133445;CC;Maicol;Empleado;;
133446;CC;jaime;Empleado;;
133447;CC;Valentina;ProfesorInvitado;;
133448;CC;jaime;Profesor;;
133449;CC;Valentina;ProfesorInvitado;;
133450;CC;camila ;Egresado;;
133451;CC;sabastian;ProfesorInvitado;;
133452;CC;violeta;PadreInvitado;;
133453;CC;lucho;Estudiante;;
133454;CC;andrea ;PadreInvitado;;
133455;CC;mathias;PersonaEvento;;
133456;CC;mariana;PadreInvitado;;
133457;CC;juan;ProfesorInvitado;;
133458;CC;angelica;Estudiante;;
133459;CC;mariana;Empleado;;
133460;CC;Juliana;ProfesorInvitado;;
133461;CC;Claudia;Empleado;;
133462;CC;sabastian;Egresado;;
133463;CC;juan;Egresado;;
133464;CC;Catherine;Empleado;;
133465;CC;Julian;Profesor;;
133466;CC;andrea ;Empleado;;
133467;CC;Silvana;Egresado;;
133468;CC;Maria;PadreInvitado;;
133469;CC;Catherine;Estudiante;;
133470;CC;pedro;Profesor;;
133471;CC;vittorio;Egresado;;
133472;CC;Juliana;Estudiante;;
133473;CC;mathias;Estudiante;;
133474;CC;mathias;Empleado;;
133475;CC;Maria;Estudiante;;
133476;CC;daniel;Empleado;;
133477;CC;victoria;Profesor;;
133478;CC;maurizio;PadreInvitado;;
133479;CC;santiago;Empleado;;
133480;CC;Catherine;Egresado;;
133481;CC;andrea ;Estudiante;;
133482;CC;santiago;Egresado;;
133483;CC;andres;Estudiante;;
133484;CC;Silvana;Egresado;;
133485;CC;Maria;Estudiante;;
133486;CC;andrei;Empleado;;
133487;CC;daniel;ProfesorInvitado;;
133488;CC;Silvana;Estudiante;;
133489;CC;andrei;Empleado;;
133490;CC;Maria;Estudiante;;
133491;CC;jose;Estudiante;;
133492;CC;angelica;Profesor;;
133493;CC;juan;PadreInvitado;;
133494;CC;Maria;Empleado;;
133495;CC;mariana;Estudiante;;
133496;CC;santiago;Estudiante;;
133497;CC;Maria;Profesor;;
133498;CC;violeta;Estudiante;;
133499;CC;andres;Empleado;;
133500;CC;daniel;PadreInvitado;;
133501;CC;gabriel;PadreInvitado;;
133502;CC;maurizio;Empleado;;
133503;CC;daniel;Egresado;;
133504;CC;violeta;ProfesorInvitado;;
133505;CC;jorge;Estudiante;;
133506;CC;Maria;Egresado;;
133507;CC;jose;PadreInvitado;;
133508;CC;Claudia;Egresado;;
133509;CC;andrei;Egresado;;
133510;CC;andrea ;PadreInvitado;;
133511;CC;andrea ;Empleado;;
133512;CC;daniel;ProfesorInvitado;;
133513;CC;jose;PadreInvitado;;
133514;CC;Julian;Profesor;;
133515;CC;valeria;Estudiante;;
133516;CC;angelica;ProfesorInvitado;;
133517;CC;Maria;Egresado;;
133518;CC;Catherine;ProfesorInvitado;;
133519;CC;victoria;Profesor;;
133520;CC;jaime;Profesor;;
133521;CC;Aura;Profesor;;
133522;CC;vittorio;PadreInvitado;;
133523;CC;Silvana;PadreInvitado;;
133524;CC;Sofia ;PadreInvitado;;
133525;CC;vittorio;Empleado;;
133526;CC;Maicol;ProfesorInvitado;;
133527;CC;jorge;Estudiante;;
133528;CC;vittorio;ProfesorInvitado;;
133529;CC;jose;Egresado;;
133530;CC;vittorio;ProfesorInvitado;;
133531;CC;santiago;ProfesorInvitado;;
133532;CC;Cristina;PadreInvitado;;
133533;CC;angelica;PadreInvitado;;
133534;CC;sabastian;Egresado;;
133535;CC;valeria;ProfesorInvitado;;
133536;CC;camila ;PadreInvitado;;
133537;CC;juan;Profesor;;
133538;CC;Silvana;Empleado;;
133539;CC;jaime;ProfesorInvitado;;
133540;CC;victoria;PadreInvitado;;
133541;CC;Maicol;ProfesorInvitado;;
133542;CC;jose;Egresado;;
133543;CC;mariana;Egresado;;
133544;CC;victoria;Egresado;;
133545;CC;jose;Estudiante;;
133546;CC;Julian;ProfesorInvitado;;
133547;CC;daniel;Estudiante;;
133548;CC;Aura;Profesor;;
133549;CC;violeta;Empleado;;
133550;CC;Sofia ;Egresado;;
133551;CC;Julian;Profesor;;
133552;CC;Julian;Egresado;;
133553;CC;vicky;PadreInvitado;;
133554;CC;Valentina;Empleado;;
133555;CC;Claudia;Empleado;;
133556;CC;vicky;Empleado;;
133557;CC;juan;Empleado;;
