ID;TIPOID;NOMBRE;TIPOMIEMBRO;;
183436;CC;Conrad;PadreInvitado;;
183437;CC;gabriel;ProfesorInvitado;;
183438;CC;juan;Empleado;;233435
183439;CC;violeta;Profesor;;
183440;CC;jorge;Egresado;;
183441;CC;Silvana;Empleado;;
183442;CC;Cristina;Empleado;;
183443;CC;Hannah;Empleado;;
183444;CC;Valentina;Egresado;;
183445;CC;Maicol;Empleado;;
183446;CC;jaime;Empleado;;
183447;CC;Valentina;ProfesorInvitado;;
183448;CC;jaime;Profesor;;
183449;CC;Valentina;ProfesorInvitado;;
183450;CC;camila ;Egresado;;
183451;CC;sabastian;ProfesorInvitado;;
183452;CC;violeta;PadreInvitado;;
183453;CC;lucho;Estudiante;;
183454;CC;andrea ;PadreInvitado;;
183455;CC;mathias;PersonaEvento;;
183456;CC;mariana;PadreInvitado;;
183457;CC;juan;ProfesorInvitado;;
183458;CC;angelica;Estudiante;;
183459;CC;mariana;Empleado;;
183460;CC;Juliana;ProfesorInvitado;;
183461;CC;Claudia;Empleado;;
183462;CC;sabastian;Egresado;;
183463;CC;juan;Egresado;;
183464;CC;Catherine;Empleado;;
183465;CC;Julian;Profesor;;
183466;CC;andrea ;Empleado;;
183467;CC;Silvana;Egresado;;
183468;CC;Maria;PadreInvitado;;
183469;CC;Catherine;Estudiante;;
183470;CC;pedro;Profesor;;
183471;CC;vittorio;Egresado;;
183472;CC;Juliana;Estudiante;;
183473;CC;mathias;Estudiante;;
183474;CC;mathias;Empleado;;
183475;CC;Maria;Estudiante;;
183476;CC;daniel;Empleado;;
183477;CC;victoria;Profesor;;
183478;CC;maurizio;PadreInvitado;;
183479;CC;santiago;Empleado;;
183480;CC;Catherine;Egresado;;
183481;CC;andrea ;Estudiante;;
183482;CC;santiago;Egresado;;
183483;CC;andres;Estudiante;;
183484;CC;Silvana;Egresado;;
183485;CC;Maria;Estudiante;;
183486;CC;andrei;Empleado;;
183487;CC;daniel;ProfesorInvitado;;
183488;CC;Silvana;Estudiante;;
183489;CC;andrei;Empleado;;
183490;CC;Maria;Estudiante;;
183491;CC;jose;Estudiante;;
183492;CC;angelica;Profesor;;
183493;CC;juan;PadreInvitado;;
183494;CC;Maria;Empleado;;
183495;CC;mariana;Estudiante;;
183496;CC;santiago;Estudiante;;
183497;CC;Maria;Profesor;;
183498;CC;violeta;Estudiante;;
183499;CC;andres;Empleado;;
183500;CC;daniel;PadreInvitado;;
183501;CC;gabriel;PadreInvitado;;
183502;CC;maurizio;Empleado;;
183503;CC;daniel;Egresado;;
183504;CC;violeta;ProfesorInvitado;;
183505;CC;jorge;Estudiante;;
183506;CC;Maria;Egresado;;
183507;CC;jose;PadreInvitado;;
183508;CC;Claudia;Egresado;;
183509;CC;andrei;Egresado;;
183510;CC;andrea ;PadreInvitado;;
183511;CC;andrea ;Empleado;;
183512;CC;daniel;ProfesorInvitado;;
183513;CC;jose;PadreInvitado;;
183514;CC;Julian;Profesor;;
183515;CC;valeria;Estudiante;;
183516;CC;angelica;ProfesorInvitado;;
183517;CC;Maria;Egresado;;
183518;CC;Catherine;ProfesorInvitado;;
183519;CC;victoria;Profesor;;
183520;CC;jaime;Profesor;;
183521;CC;Aura;Profesor;;
183522;CC;vittorio;PadreInvitado;;
183523;CC;Silvana;PadreInvitado;;
183524;CC;Sofia ;PadreInvitado;;
183525;CC;vittorio;Empleado;;
183526;CC;Maicol;ProfesorInvitado;;
183527;CC;jorge;Estudiante;;
183528;CC;vittorio;ProfesorInvitado;;
183529;CC;jose;Egresado;;
183530;CC;vittorio;ProfesorInvitado;;
183531;CC;santiago;ProfesorInvitado;;
183532;CC;Cristina;PadreInvitado;;
183533;CC;angelica;PadreInvitado;;
183534;CC;sabastian;Egresado;;
183535;CC;valeria;ProfesorInvitado;;
183536;CC;camila ;PadreInvitado;;
183537;CC;juan;Profesor;;
183538;CC;Silvana;Empleado;;
183539;CC;jaime;ProfesorInvitado;;
183540;CC;victoria;PadreInvitado;;
183541;CC;Maicol;ProfesorInvitado;;
183542;CC;jose;Egresado;;
183543;CC;mariana;Egresado;;
183544;CC;victoria;Egresado;;
183545;CC;jose;Estudiante;;
183546;CC;Julian;ProfesorInvitado;;
183547;CC;daniel;Estudiante;;
183548;CC;Aura;Profesor;;
183549;CC;violeta;Empleado;;
183550;CC;Sofia ;Egresado;;
183551;CC;Julian;Profesor;;
183552;CC;Julian;Egresado;;
183553;CC;vicky;PadreInvitado;;
183554;CC;Valentina;Empleado;;
183555;CC;Claudia;Empleado;;
183556;CC;vicky;Empleado;;
183557;CC;juan;Empleado;;
183558;CC;Maicol;Profesor;;
183559;CC;mariana;Estudiante;;
183560;CC;pablo;Estudiante;;
183561;CC;Sofia ;Empleado;;
183562;CC;andrei;Egresado;;
183563;CC;andrea ;ProfesorInvitado;;
183564;CC;Julian;Egresado;;
183565;CC;Maria;Egresado;;
183566;CC;Aura;Egresado;;
183567;CC;jaime;Egresado;;
183568;CC;juan;PadreInvitado;;
183569;CC;Catherine;ProfesorInvitado;;
183570;CC;nicolas;Empleado;;
183571;CC;andrea ;Profesor;;
183572;CC;victoria;ProfesorInvitado;;
183573;CC;daniel;Profesor;;
183574;CC;mathias;Profesor;;
183575;CC;Valentina;ProfesorInvitado;;
183576;CC;pablo;Egresado;;
183577;CC;santiago;Estudiante;;
183578;CC;pedro;ProfesorInvitado;;
183579;CC;sabastian;Egresado;;
183580;CC;mariana;Egresado;;
183581;CC;juan;Egresado;;
183582;CC;Nelly ;Egresado;;
183583;CC;Nelly ;PadreInvitado;;
183584;CC;andres;Profesor;;
183585;CC;juan;ProfesorInvitado;;
183586;CC;santiago;Profesor;;
183587;CC;Maria;PadreInvitado;;
183588;CC;Julian;Estudiante;;
183589;CC;daniel;ProfesorInvitado;;
183590;CC;andrea ;PadreInvitado;;
183591;CC;Maria;ProfesorInvitado;;
183592;CC;santiago;Egresado;;
183593;CC;vicky;Profesor;;
183594;CC;Maicol;PadreInvitado;;
183595;CC;gabriel;PadreInvitado;;
183596;CC;Sofia ;Empleado;;
183597;CC;Maicol;Egresado;;
183598;CC;pedro;Egresado;;
183599;CC;Maria;Estudiante;;
183600;CC;Cristina;ProfesorInvitado;;
183601;CC;juan;Empleado;;
183602;CC;Silvana;PadreInvitado;;
183603;CC;Hannah;ProfesorInvitado;;
183604;CC;Maicol;Empleado;;
183605;CC;pablo;Egresado;;
183606;CC;jaime;Empleado;;
183607;CC;Catherine;Profesor;;
183608;CC;Valentina;Egresado;;
183609;CC;valeria;Egresado;;
183610;CC;victoria;Estudiante;;
183611;CC;Aura;PadreInvitado;;
183612;CC;andres;Estudiante;;
183613;CC;valeria;Estudiante;;
183614;CC;valeria;Egresado;;
183615;CC;Maria;PersonaEvento;;
183616;CC;mariana;Profesor;;
183617;CC;nicolas;ProfesorInvitado;;
183618;CC;mariana;ProfesorInvitado;;
183619;CC;camila ;PadreInvitado;;
183620;CC;violeta;Profesor;;
183621;CC;andrei;Profesor;;
183622;CC;pedro;ProfesorInvitado;;
183623;CC;Nelly ;Profesor;;
183624;CC;andrea ;Egresado;;
183625;CC;valeria;ProfesorInvitado;;
183626;CC;gabriel;Egresado;;
183627;CC;andrea ;Profesor;;
183628;CC;mariana;Profesor;;
183629;CC;Sofia ;PadreInvitado;;
183630;CC;mathias;Egresado;;
183631;CC;Julian;Empleado;;
183632;CC;pedro;Egresado;;
183633;CC;Hannah;Profesor;;
183634;CC;andrei;Estudiante;;
183635;CC;pablo;PadreInvitado;;
183636;CC;pedro;PadreInvitado;;
183637;CC;andres;PadreInvitado;;
183638;CC;nicolas;Estudiante;;
183639;CC;gabriel;PadreInvitado;;
183640;CC;Valentina;Estudiante;;
183641;CC;Sofia ;PadreInvitado;;
183642;CC;victoria;Estudiante;;
183643;CC;nicolas;Empleado;;
183644;CC;andrei;PadreInvitado;;
183645;CC;andrea ;Profesor;;
183646;CC;Catherine;ProfesorInvitado;;
183647;CC;gabriel;PadreInvitado;;
183648;CC;Aura;Estudiante;;
183649;CC;mariana;PadreInvitado;;
183650;CC;jaime;PadreInvitado;;
183651;CC;pablo;Empleado;;
183652;CC;sabastian;Estudiante;;
183653;CC;Maicol;PadreInvitado;;
183654;CC;Maria;PadreInvitado;;
183655;CC;Sofia ;Profesor;;
183656;CC;maurizio;PersonaEvento;;
183657;CC;Claudia;Egresado;;
183658;CC;Aura;Empleado;;
183659;CC;valeria;PadreInvitado;;
183660;CC;nicolas;PadreInvitado;;
183661;CC;andrei;Profesor;;
183662;CC;Claudia;Estudiante;;
183663;CC;mariana;Empleado;;
183664;CC;jose;Estudiante;;
183665;CC;nicolas;Estudiante;;
183666;CC;vittorio;ProfesorInvitado;;
183667;CC;pablo;ProfesorInvitado;;
183668;CC;camila ;PadreInvitado;;
183669;CC;Silvana;Profesor;;
183670;CC;daniel;PadreInvitado;;
183671;CC;Juliana;Egresado;;
183672;CC;Catherine;Empleado;;
183673;CC;Julian;Empleado;;
183674;CC;Sofia ;PadreInvitado;;
183675;CC;Claudia;Empleado;;
183676;CC;Maria;Empleado;;
183677;CC;jaime;PadreInvitado;;
183678;CC;vicky;ProfesorInvitado;;
183679;CC;mariana;Profesor;;
183680;CC;jaime;PadreInvitado;;
183681;CC;Sofia ;Egresado;;
183682;CC;Maria;PadreInvitado;;
183683;CC;andres;Egresado;;
183684;CC;vicky;Estudiante;;
183685;CC;pedro;Estudiante;;
183686;CC;Maicol;Profesor;;
183687;CC;santiago;ProfesorInvitado;;
183688;CC;Maria;Profesor;;
183689;CC;Nelly ;Empleado;;
183690;CC;lucho;ProfesorInvitado;;
183691;CC;vittorio;Empleado;;
183692;CC;Valentina;ProfesorInvitado;;
183693;CC;Juliana;Egresado;;
183694;CC;andrei;ProfesorInvitado;;
183695;CC;sabastian;ProfesorInvitado;;
183696;CC;camila ;PadreInvitado;;
183697;CC;mathias;Empleado;;
183698;CC;daniel;Estudiante;;
183699;CC;Claudia;Empleado;;
183700;CC;mariana;ProfesorInvitado;;
183701;CC;Valentina;ProfesorInvitado;;
183702;CC;violeta;Profesor;;
183703;CC;pedro;Estudiante;;
183704;CC;vicky;Profesor;;
183705;CC;gabriel;Egresado;;
183706;CC;Cristina;ProfesorInvitado;;
183707;CC;pablo;Estudiante;;
183708;CC;andres;Estudiante;;
183709;CC;jaime;PadreInvitado;;
183710;CC;Julian;Estudiante;;
183711;CC;Aura;Empleado;;
183712;CC;Maria;PadreInvitado;;
183713;CC;jorge;Estudiante;;
